iter	Passed	Remaining
1351	48498	5308
1352	48542	5274
1353	48587	5239
1354	48624	5203
1355	48670	5168
1356	48709	5132
1357	48751	5097
1358	48795	5062
1359	48845	5028
1360	48887	4992
1361	48930	4957
1362	48974	4922
1363	49009	4886
1364	49044	4850
1365	49086	4815
1366	49139	4780
1367	49175	4744
1368	49220	4709
1369	49267	4675
1370	49315	4640
1371	49365	4605
1372	49411	4570
1373	49455	4535
1374	49496	4499
1375	49529	4463
1376	49559	4426
1377	49588	4390
1378	49619	4353
1379	49645	4317
1380	49671	4280
1381	49697	4243
1382	49727	4206
1383	49755	4170
1384	49782	4133
1385	49810	4096
1386	49841	4060
1387	49872	4024
1388	49902	3987
1389	49936	3951
1390	49970	3915
1391	50004	3879
1392	50040	3843
1393	50071	3807
1394	50103	3771
1395	50137	3735
1396	50167	3698
1397	50204	3662
1398	50238	3626
1399	50268	3590
1400	50295	3554
1401	50321	3517
1402	50349	3481
1403	50377	3444
1404	50408	3408
1405	50436	3372
1406	50469	3335
1407	50507	3300
1408	50550	3264
1409	50589	3229
1410	50625	3193
1411	50658	3157
1412	50690	3121
1413	50728	3085
1414	50765	3049
1415	50802	3013
1416	50834	2977
1417	50866	2941
1418	50897	2905
1419	50930	2869
1420	50958	2832
1421	50984	2796
1422	51009	2760
1423	51038	2723
1424	51074	2688
1425	51107	2652
1426	51138	2616
1427	51167	2579
1428	51197	2543
1429	51227	2507
1430	51258	2471
1431	51291	2435
1432	51323	2399
1433	51358	2363
1434	51389	2327
1435	51416	2291
1436	51444	2255
1437	51472	2219
1438	51501	2183
1439	51529	2147
1440	51555	2110
1441	51582	2074
1442	51608	2038
1443	51638	2002
1444	51681	1967
1445	51718	1931
1446	51746	1895
1447	51772	1859
1448	51797	1823
1449	51823	1787
1450	51850	1750
1451	51880	1715
1452	51907	1679
1453	51937	1643
1454	51967	1607
1455	51997	1571
1456	52030	1535
1457	52062	1499
1458	52091	1463
1459	52124	1428
1460	52153	1392
1461	52190	1356
1462	52220	1320
1463	52250	1284
1464	52281	1249
1465	52310	1213
1466	52338	1177
1467	52369	1141
1468	52404	1105
1469	52439	1070
1470	52475	1034
1471	52507	998
1472	52535	962
1473	52560	927
1474	52588	891
1475	52615	855
1476	52648	819
1477	52675	784
1478	52706	748
1479	52742	712
1480	52771	677
1481	52797	641
1482	52825	605
1483	52853	569
1484	52881	534
1485	52909	498
1486	52938	462
1487	52970	427
1488	53003	391
1489	53033	355
1490	53066	320
1491	53099	284
1492	53128	249
1493	53168	213
1494	53209	177
1495	53246	142
1496	53288	106
1497	53336	71
1498	53385	35
1499	53424	0
